t,value,y_true,anomaly_type
0,22.121886831901772,0,normal
1,21.605824292816425,0,normal
2,22.343815933592232,0,normal
3,22.441678031079874,0,normal
4,21.306853512280437,0,normal
5,21.588209566872322,0,normal
6,22.182029236139613,0,normal
7,22.026205251333902,0,normal
8,22.167788131621897,0,normal
9,21.85509400776591,0,normal
10,22.5698700156607,0,normal
11,22.551022694556078,0,normal
12,22.288108726905875,0,normal
13,22.734378476159655,0,normal
14,22.492265879019545,0,normal
15,21.983319494330754,0,normal
16,22.496304904575847,0,normal
17,21.987013021756507,0,normal
18,22.743700599162132,0,normal
19,22.394097062055405,0,normal
20,22.361861546097963,0,normal
21,22.185165442222104,0,normal
22,22.968275853626288,0,normal
23,22.439160459677307,0,normal
24,22.351344520806357,0,normal
25,22.40351567628675,0,normal
26,22.778975854171986,0,normal
27,22.733902113034823,0,normal
28,22.77447865055302,0,normal
29,22.803363524660078,0,normal
30,23.50933166811511,0,normal
31,22.511731700370323,0,normal
32,22.491012857616155,0,normal
33,22.391999851990082,0,normal
34,22.985486046900473,0,normal
35,23.212254459149054,0,normal
36,22.736643342139207,0,normal
37,22.467701626123006,0,normal
38,22.49549832080467,0,normal
39,23.107038801041668,0,normal
40,23.165598112371583,0,normal
41,23.10703637913573,0,normal
42,22.645032077878593,0,normal
43,23.025544431492584,0,normal
44,23.000780411650126,0,normal
45,23.062989548772244,0,normal
46,23.34547507215415,0,normal
47,23.107712252988538,0,normal
48,23.31119054598422,0,normal
49,23.087988044133343,0,normal
50,23.197915273610953,0,normal
51,23.356073298776256,0,normal
52,22.541965165999283,0,normal
53,23.018207079180264,0,normal
54,22.979152757562407,0,normal
55,22.93295471122242,0,normal
56,23.099630355285445,0,normal
57,23.828822156305392,0,normal
58,22.905648129550464,0,normal
59,23.66040302730868,0,normal
60,22.621030650199614,0,normal
61,23.181286782517788,0,normal
62,23.4013792175444,0,normal
63,23.591778681869084,0,normal
64,23.662766299891025,0,normal
65,23.716574242012708,0,normal
66,23.280678361286906,0,normal
67,23.256133679160175,0,normal
68,23.80514332056099,0,normal
69,23.40628197825854,0,normal
70,22.993351690408417,0,normal
71,23.07110522064977,0,normal
72,23.177404057474092,0,normal
73,23.764784718929143,0,normal
74,23.643596354231462,0,normal
75,23.883495634809584,0,normal
76,23.457045269306725,0,normal
77,23.711976047189065,0,normal
78,23.91937878708912,0,normal
79,23.565954696350765,0,normal
80,23.89292192276242,0,normal
81,23.465927408960805,0,normal
82,23.6059292565602,0,normal
83,23.618875310167024,0,normal
84,23.313620556157552,0,normal
85,24.0070972392883,0,normal
86,23.64486464198484,0,normal
87,23.85790566837359,0,normal
88,24.06545385286415,0,normal
89,24.071979168285253,0,normal
90,24.179696205414565,0,normal
91,23.89428700326922,0,normal
92,23.784464095406484,0,normal
93,23.941961164225443,0,normal
94,23.31894212659857,0,normal
95,23.435020404768895,0,normal
96,23.504736703770572,0,normal
97,23.654830254249013,0,normal
98,24.23351201508168,0,normal
99,23.73124456554312,0,normal
100,23.961965175976626,0,normal
101,24.652675296399494,0,normal
102,24.010191562283573,0,normal
103,24.467375569964474,0,normal
104,23.81855310638588,0,normal
105,24.12941426128129,0,normal
106,23.851127465807032,0,normal
107,24.115027585938062,0,normal
108,24.606225753680693,0,normal
109,23.59859279519673,0,normal
110,24.482665301371288,0,normal
111,24.423321009225138,0,normal
112,24.109853387206293,0,normal
113,23.788332138613278,0,normal
114,24.414803937716925,0,normal
115,24.19330648319364,0,normal
116,24.51727969688468,0,normal
